Point ID,Label,Annual_Precipitation,Distance_to_Nearest_Karst_Feature,Distance_to_Nearest_Water_body,Elevation_(m),Hydrualic_Head_Difference,IAS_Thickness,LULC,Overburden_Thickness,SAS_Thickness,Shear_Waves_Velocities,Slope,Surface_Geology,TPI
5490.0,1.0,1224.0,26108.71094,84.84617615,34.0,2.43840003,15.5447998,1000.0,32.78079987,16.62639999,230.4760437,0.496121347,3.0,-0.099582672
5491.0,1.0,1240.0,5005.497559,623.7907104,43.0,13.71600056,32.00400162,1000.0,52.44879913,21.44479942,330.6032715,0.319617093,3.0,14.75850105
5492.0,1.0,1240.0,2204.965576,380.0650024,24.0,3.048000097,30.78479958,1000.0,37.41120148,6.626399994,239.8389282,0.071479142,7.0,0.340763092
5493.0,1.0,1236.0,593.9208374,561.4381714,25.0,0.609600008,30.17519951,1000.0,38.7159996,8.540800095,351.0574951,1.46179986,7.0,-0.32932663
5494.0,1.0,1237.0,5594.544922,212.1143646,43.0,5.791200161,27.43200111,1000.0,54.27759933,21.84560013,213.3830872,2.098008633,3.0,4.410779953
5495.0,1.0,1241.0,4251.037598,59.88002014,21.0,0.609600008,28.04160118,5000.0,40.50720215,13.46560001,320.2124939,1.270811558,3.0,0.473610878
5496.0,1.0,1273.0,9885.069336,42.42948914,59.0,8.534399986,27.43200111,6000.0,46.80799866,19.68080139,404.3605652,1.881983757,3.0,7.923259735
5497.0,1.0,1289.0,16804.79492,361.3161621,37.0,5.181600094,36.57600021,1000.0,43.09600067,8.434400558,239.9977264,1.433638453,3.0,3.754493713
5498.0,1.0,1289.0,17566.48242,277.1118469,41.0,4.87680006,33.83280182,8000.0,45.26720047,12.43440056,274.3462219,0.170574084,3.0,4.017818451
5499.0,1.0,1340.0,8150.759277,2354.14209,46.0,14.02080059,0.0,1000.0,31.97919846,30.97919846,535.6730957,3.232583284,4.0,7.132896423
5500.0,1.0,1288.0,9534.817383,323.5959473,18.0,0.914399981,0.0,1000.0,19.52400017,17.52400017,234.4132538,0.06559106,7.0,-0.113154411
5501.0,1.0,1297.0,10321.9834,134.3404541,25.0,5.181600094,0.0,1000.0,18.29439926,18.29439926,226.0914307,0.128520817,7.0,2.721357346
5502.0,1.0,1249.0,6756.211914,191.9953156,34.0,0.609600008,13.41120052,8000.0,38.5719986,25.16080093,251.9686127,0.436472476,3.0,-5.388244629
5503.0,1.0,1273.0,30.06398773,698.9686279,33.0,-6.096000195,47.24399948,6000.0,52.81200027,3.567998886,222.778717,0.168856934,7.0,-13.02692413
5504.0,1.0,1335.0,4621.286621,613.0314941,20.0,6.096000195,0.0,6000.0,12.68480015,12.07520008,364.0102234,0.35610649,7.0,-4.919438362
